"EXP","BC","HM","indicateur","url"
"rcp26","MF-ADAMONT","C-TRIP","Debit-Q05A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q05A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-Q10A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q10A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-Q50A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q50A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-Q90A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q90A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-Q95A_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-Q95A_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-QA_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-QA_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-QA_Mensuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-QA_Mensuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-QA_Saisonnier","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-QA_Saisonnier_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-QJXA_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-QJXA_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
"rcp26","MF-ADAMONT","C-TRIP","Debit-QMNA_Annuel","https://climatedata.umr-cnrm.fr/public/dcsc/projects/DRIAS/EXPLORE2-Hydro/EXPLORE2-2024_C-TRIP/Indicateurs_Debit/rcp26/Indicateurs_Debit-QMNA_Annuel_EXPLORE2-2024_MF-ADAMONT_historical-rcp26_CTRIP_serie-temporelle_modeles-individuels_NetCDF.zip"
